sid_A,sid_B,species_A,species_B,gap_mean,gap_std,n_runs,npos_bin,nneg_bin,gap_ci_lo,gap_ci_hi,gap_p,gap_snr,concept,j
68,146,Ruby throated Hummingbird,Forsters Tern,0.14478905093785824,0.001670656302719139,3,11,17,0.1430116347221787,0.14596342310170826,0.0,86.66597110101907,long wingspan,191
69,1,Rufous Hummingbird,Black footed Albatross,0.1540235852601756,0.002821673336156508,3,17,11,0.15213099218129944,0.15703511501503928,0.0,54.58590235515717,long wingspan,191
69,2,Rufous Hummingbird,Laysan Albatross,0.08767581200833123,0.004846642883454557,3,15,13,0.08268878752871149,0.09171129969043094,0.0,18.090008712948176,long wingspan,191
69,3,Rufous Hummingbird,Sooty Albatross,0.15010832367564853,0.004483667017490628,3,16,12,0.14613045251095677,0.1545927861250022,0.0,33.47891871912037,long wingspan,191
69,67,Rufous Hummingbird,Anna Hummingbird,0.09182290415737478,0.012721463346450176,3,10,13,0.07875675301114274,0.10246929571995599,0.0,7.217951398317653,long wingspan,191
69,68,Rufous Hummingbird,Ruby throated Hummingbird,0.02014130707671365,0.008099011121128633,6,13,13,0.011113495753235614,0.029223192976585044,0.0,2.4868847286407956,long wingspan,191
69,70,Rufous Hummingbird,Green Violetear,0.20439680270281924,0.009054946670469745,3,13,13,0.1958177243538537,0.21302189246182557,0.0,22.572943841495064,long wingspan,191
69,71,Rufous Hummingbird,Long tailed Jaeger,0.13831580867077287,0.003003993616957443,3,17,10,0.13530519436697092,0.1409712091519397,0.0,46.04397554107332,long wingspan,191
69,92,Rufous Hummingbird,Nighthawk,0.011606348774227912,0.00905501076735906,3,13,13,0.003027173232359731,0.02023146384588289,0.0,1.2817597980980868,long wingspan,191
69,108,Rufous Hummingbird,White necked Raven,0.03415113347303019,0.010346450027816355,3,11,13,0.02629891465721535,0.045050996753538346,0.0,3.30075855756461,long wingspan,191
69,142,Rufous Hummingbird,Black Tern,0.0991775824381667,0.004846744776215971,3,15,13,0.0941904418046443,0.10321312886820791,0.0,20.46272023738281,long wingspan,191
69,143,Rufous Hummingbird,Caspian Tern,0.06825539787022712,0.00448365806564297,3,16,13,0.06427751616183444,0.07273983965456268,0.0,15.223149681735585,long wingspan,191
69,144,Rufous Hummingbird,Common Tern,0.05952836534641489,0.00967557948083848,3,14,13,0.0492338198727858,0.06632467674773834,0.0,6.152434121196817,long wingspan,191
70,1,Green Violetear,Black footed Albatross,0.36122285452006553,0.0007192724837189761,3,13,11,0.3606601467966202,0.36197606625080336,0.0,502.2058568821764,long wingspan,191
70,28,Green Violetear,Brown Creeper,0.07009706315741283,0.004997655925485326,3,11,17,0.06593031662588114,0.07523707250807823,0.0,14.025988220983754,long wingspan,191
70,62,Green Violetear,Herring Gull,0.2235842709141315,0.0045134665891210885,3,12,17,0.21952198088061034,0.22806011711506533,0.0,49.537149871343814,long wingspan,191
