sid_A,sid_B,var_old,var_new,shift_B_fwd,shift_A_fwd,delta_z_old_mean,delta_z_new_mean,shift_A_bwd,leakage_sym,part
4,6,1,8,7.232274053876608e-05,-0.08472909927368164,-0.5714196681976318,0.3680555962026119,,3.616137026938304e-05,tail
4,14,1,6,0.01641980067433906,-0.08750529289245605,-0.6837615370750427,0.5308800057769986,,0.00820990033716953,tail
4,17,1,2,3.0556114651858477e-07,-0.029948949813842773,-0.1770162582397461,2.2407948694080915e-05,,1.5278057325929239e-07,tail
4,19,1,4,1.8780520008476742e-05,-0.02306123971939087,-0.11563482284545898,0.3070166067271202,,9.390260004238371e-06,tail
4,28,1,0,0.01122515940842277,-0.04257599115371704,-0.20030557513237,0.1700680345777073,,0.005612579704211385,tail
4,37,1,2,5.505921903932176e-05,-0.029948949813842773,-0.1770162582397461,2.2407948694080915e-05,,2.752960951966088e-05,tail
4,40,1,5,0.00024920096421965354,-0.2636972784996033,-0.5517896175384521,0.6524051517248154,,0.00012460048210982677,tail
5,14,5,6,0.10552945733070374,-0.22926058769226074,-0.9324049592018128,0.16393131622462534,,0.05276472866535187,tail
5,18,5,8,1.854623978942982e-05,-0.3045457899570465,-0.6023923397064209,0.5829064851859584,,9.27311989471491e-06,tail
5,25,5,3,0.00021526784512388987,-0.02453192472457886,-0.11306334733963012,0.01134735250252561,,0.00010763392256194493,tail
6,7,8,0,2.0704034545815377e-05,-0.008219361305236816,-0.5168810486793518,0.126999122207053,,1.0352017272907688e-05,tail
6,40,8,5,4.071305914798984e-06,-0.08259350061416626,-0.49177064895629885,0.6551174700260163,,2.035652957399492e-06,tail
6,42,8,0,1.5951277737258353e-05,-0.008219361305236816,-0.5168810486793518,0.126999122207053,,7.975638868629176e-06,tail
7,9,0,5,0.0005846626205311623,-0.38267630338668823,-0.5544131219387054,0.4214789930731058,,0.00029233131026558113,tail
7,31,0,8,0.0005259643681938542,-0.1965445876121521,-0.5437603652477264,0.3895849820226431,,0.0002629821840969271,tail
7,36,0,8,0.003472372794931289,-0.1965445876121521,-0.5437603652477264,0.3895849820226431,,0.0017361863974656444,tail
7,45,0,6,0.0016127063880048808,-0.2397610664367676,-0.5068284213542938,0.17303966777690222,,0.0008063531940024404,tail
7,46,0,1,7.984722987686154e-07,-0.07712339162826538,-0.2407600224018097,0.1460405966034159,,3.992361493843077e-07,tail
8,11,0,5,0.05682559181004763,-0.6583588480949402,-0.9992664098739624,0.9532867193222045,,0.028412795905023814,tail
8,12,0,8,0.0008160114113707096,-0.3234503984451294,-0.9736231803894043,0.9529184818267822,,0.0004080057056853548,tail
8,29,0,1,0.00031297481182264165,-0.012993919849395751,-0.02081645727157593,0.3194687802344561,,0.00015648740591132083,tail
9,36,5,8,7.229299012578849e-06,-0.017595505714416503,-0.7747351050376892,0.12047647160361522,,3.6146495062894247e-06,tail
10,14,3,6,2.881659227682576e-07,0.003156006336212158,-0.433503258228302,0.00044619011846407374,,1.440829613841288e-07,tail
10,41,3,6,5.904075850438062e-08,0.003156006336212158,-0.433503258228302,0.00044619011846407374,,2.952037925219031e-08,tail
